id	ref	class	di_events	dir	read_len	aln_len	ref_start	ref_end	ref_len	score	max_score	num_match	num_snp	num_ins	num_del	num_mask	shared_7mers	med_q	mean_q
SRR29165088.7	_NC_002020.1	vRNA	0	F	915	890	1	890	890	3490.00	4575.00	797	85	12	8	21	427	24.00	23.04
SRR29165088.8	_NC_007363.1	vRNA	0	F	1043	1026	1	1026	1027	3764.00	5215.00	899	95	31	32	18	500	18.00	18.07
SRR29165088.9	P_NC_007360.1	vRNA	0	F	1578	1565	1	1565	1565	5863.00	7890.00	1361	186	9	18	22	681	24.00	23.19
SRR29165088.15	_NC_002020.1	vRNA	0	F	905	890	1	890	890	3379.00	4525.00	786	89	9	15	21	418	23.00	21.31
SRR29165088.21	_NC_007363.1	vRNA	0	R	1046	1024	1	1024	1027	4354.00	5230.00	948	67	10	9	21	600	25.00	24.19
SRR29165088.28	_NC_007363.1	vRNA	0	R	1043	1027	1	1027	1027	4407.00	5215.00	953	67	2	7	21	623	26.00	24.92
SRR29165088.32	_NC_007363.1	vRNA	0	R	1046	1027	1	1027	1027	4327.00	5230.00	945	73	7	9	21	605	25.00	23.91
SRR29165088.33	_NC_007363.1	vRNA	0	F	1048	1027	1	1027	1027	4214.00	5240.00	938	77	12	12	21	555	22.00	20.61
SRR29165088.40	_NC_002020.1	vRNA	0	R	903	890	1	890	890	3189.00	4515.00	773	90	19	27	21	365	21.00	20.10
SRR29165088.47	_NC_002020.1	vRNA	0	R	913	890	1	890	890	3623.00	4565.00	807	77	8	6	21	459	24.00	22.63
SRR29165088.48	A_NC_007359.1	vRNA	0	R	2244	2233	1	2233	2233	9334.00	11220.00	2045	168	10	20	21	1341	26.00	24.94
SRR29165088.54	_NC_007363.1	vRNA	0	R	1046	1027	1	1027	1027	4031.00	5230.00	923	85	18	19	20	527	23.00	20.47
SRR29165088.57	P_NC_007360.1	vRNA	0	R	1569	1565	1	1565	1565	5617.00	7845.00	1343	194	15	28	17	639	24.00	21.98
SRR29165088.64	A_NC_007359.1	vRNA	0	F	2234	2232	2	2233	2233	8866.00	11170.00	2008	175	29	49	22	1247	21.00	19.98
SRR29165088.72	_NC_004906.1	vRNA	0	F	393	436	1	436	890	1076.00	1965.00	316	50	9	70	18	160	25.00	22.86
SRR29165088.76	_NC_007363.1	vRNA	0	R	1051	1027	1	1027	1027	4302.00	5255.00	947	72	11	8	21	581	23.00	21.44
SRR29165088.89	_NC_007363.1	vRNA	0	F	1037	1027	1	1027	1027	4021.00	5185.00	918	83	13	26	23	531	22.00	20.96
SRR29165088.94	_NC_007363.1	vRNA	0	R	1044	1027	1	1027	1027	4406.00	5220.00	953	67	3	7	21	619	26.00	24.17
SRR29165088.98	_NC_007375.1	vRNA	0	F	454	432	1730	2161	2341	1495.00	2270.00	365	56	5	11	28	198	24.00	22.43
SRR29165088.101	_NC_007363.1	vRNA	0	R	1036	1027	1	1027	1027	4191.00	5180.00	932	78	5	17	21	567	25.00	23.30
SRR29165088.112	_NC_007363.1	vRNA	0	R	1044	1027	1	1027	1027	4131.00	5220.00	928	81	14	18	21	554	23.00	21.32
SRR29165088.116	_NC_007375.1	vRNA	0	R	575	664	1678	2341	2341	1803.00	2875.00	484	67	11	113	13	274	24.00	22.86
SRR29165088.118	A_NC_007362.1	vRNA	0	F	241	223	1538	1760	1760	779.00	1205.00	190	24	3	9	24	102	21.00	19.77
SRR29165088.130	_NC_007363.1	vRNA	0	R	1034	1027	1	1027	1027	4265.00	5170.00	939	70	6	18	19	581	22.00	20.96
SRR29165088.131	_NC_002020.1	vRNA	0	F	913	890	1	890	890	3519.00	4565.00	796	86	10	8	21	446	24.00	23.29
SRR29165088.142	_NC_007363.1	vRNA	0	R	1042	1026	1	1026	1027	4306.00	5210.00	945	69	5	12	23	594	22.00	21.66
SRR29165088.167	_NC_004906.1	vRNA	0	F	941	890	1	890	890	3351.00	4705.00	785	95	40	10	21	414	24.00	22.38
SRR29165088.174	_NC_007363.1	vRNA	0	F	1039	1027	1	1027	1027	4269.00	5195.00	939	72	5	16	23	585	25.00	23.32
SRR29165088.184	A_NC_007359.1	diRNA	1	F	604	726	1	726	2233	1562.00	3020.00	478	92	16	156	18	263	24.00	22.91
SRR29165088.188	_NC_007363.1	vRNA	0	R	1039	1027	1	1027	1027	4238.00	5195.00	936	76	6	15	21	553	23.00	22.29
SRR29165088.190	_NC_007363.1	vRNA	0	R	1036	1027	1	1027	1027	4111.00	5180.00	931	74	10	22	21	541	20.00	19.71
SRR29165088.194	_NC_007363.1	vRNA	0	R	1031	1026	1	1026	1027	4071.00	5155.00	925	72	12	29	22	566	22.00	20.79
SRR29165088.195	_NC_007363.1	vRNA	0	R	1047	1027	1	1027	1027	4351.00	5235.00	947	76	4	4	20	601	25.00	24.68
SRR29165088.198	_NC_004906.1	vRNA	0	R	897	890	1	890	890	3350.00	4485.00	782	91	8	17	16	398	21.00	20.08
SRR29165088.209	_NC_007363.1	vRNA	0	F	1040	1027	1	1027	1027	4196.00	5200.00	938	72	9	17	21	571	23.00	21.08
SRR29165088.211	_NC_004906.1	vRNA	0	F	911	885	6	890	890	3463.00	4555.00	790	85	11	10	25	434	25.00	23.04
SRR29165088.215	_NC_002020.1	vRNA	0	F	901	890	1	890	890	3242.00	4505.00	766	103	11	21	21	401	23.00	20.92
SRR29165088.242	_NC_007363.1	vRNA	0	F	1045	1027	1	1027	1027	4403.00	5225.00	951	70	3	6	21	612	25.00	23.41
SRR29165088.250	_NC_007363.1	vRNA	0	R	1041	1027	1	1027	1027	4259.00	5205.00	941	73	6	13	21	597	26.00	24.75
SRR29165088.257	_NC_007363.1	vRNA	0	R	1043	1027	1	1027	1027	4323.00	5215.00	943	74	5	10	21	589	24.00	22.47
